node_id,status,pano_id,pano_date,pano_lat,pano_lon,month,year,usable,osm_name,typology
n00152,OK,12K3skdY-PyC2syZFUygsA,2026-04,40.74571840946512,-73.97813423873188,4,2026,True,East 34th Street,mid_block
n00153,OK,bwNQoPS89yjdo15l9QtDxQ,2026-04,40.74562939147597,-73.97788323424928,4,2026,True,East 34th Street,mid_block
n00154,OK,2bTUsFPec0GPmO6KORwckg,2026-04,40.74554224214992,-73.9776772471176,4,2026,True,East 34th Street,mid_block
n00155,OK,i1v8gtbrXqiUIM2AKKbIVg,2026-04,40.74549465770853,-73.97756353710452,4,2026,True,East 34th Street,mid_block
n00156,OK,4oZdWtcunfl_u20E3lWqNw,2026-04,40.74540801501144,-73.97734678841545,4,2026,True,East 34th Street,mid_block
n00157,OK,iKTAi5twpYfDXk6vy_znRw,2026-04,40.74531697426636,-73.97712349306865,4,2026,True,East 34th Street,mid_block
n00158,OK,4ZTruxKVHDlG6AfyaMTxfQ,2026-04,40.74523153580456,-73.97691947801715,4,2026,True,East 34th Street,mid_block
n00159,OK,ZOaQWic6VS39W6oXUPmnjQ,2026-04,40.74514252450766,-73.97670676407148,4,2026,True,East 34th Street,mid_block
n00160,OK,bH8SCIw-6VZ93dXr1a0jDA,2026-04,40.74505150063134,-73.97649315311868,4,2026,True,East 34th Street,mid_block
n00161,OK,36GaOIN8WtNNI0AklrwsyQ,2026-04,40.74496200042908,-73.97628815094846,4,2026,True,East 34th Street,mid_block
n00162,OK,fxp1KAVWPpYV2nh7UEKP6A,2026-04,40.74486993798122,-73.9760773195298,4,2026,True,East 34th Street,mid_block
n00163,OK,doAaqLI1jqrFh6Hh_7j7uQ,2026-04,40.74482271803476,-73.97586586013767,4,2026,True,East 34th Street,mid_block
n00164,OK,Wg9Mtp35wImk2gQmLu6MQw,2026-04,40.74468254253537,-73.97563476112146,4,2026,True,East 34th Street,mid_block
n00165,OK,m4ncSSbDDXPPzoZ09PUzwQ,2026-04,40.74459362911775,-73.97542222511062,4,2026,True,East 34th Street,mid_block
n00166,OK,6zAkCBSpU3M99ZZXtIStTA,2026-04,40.74450247487223,-73.97520771595362,4,2026,True,East 34th Street,mid_block
n00167,OK,xXYoNUbMCxk1MYXtqFeRkQ,2026-04,40.74440961060124,-73.97499284784591,4,2026,True,East 34th Street,mid_block
n00168,OK,qpU0LeqIP4qUr-_yjOvAkg,2026-04,40.74431841507361,-73.97477699304034,4,2026,True,East 34th Street,mid_block
n00169,OK,9NeXL0MZ2thl3t6hiCa83A,2026-04,40.7442301079505,-73.97456714642475,4,2026,True,East 34th Street,mid_block
n00170,OK,rcxUTBgPvH3o5uYUWi3HQg,2026-04,40.7441427845518,-73.9743594518568,4,2026,True,East 34th Street,mid_block
n00171,OK,CoUsNZWA6K3nWDxPcT1tCQ,2026-04,40.74409292499205,-73.97424089725769,4,2026,True,East 34th Street,mid_block
n00172,OK,0-n3lsRX0CtL67oHumEUXg,2026-04,40.74400413675678,-73.97402979456074,4,2026,True,East 34th Street,mid_block
n00173,OK,WO7-Pl6R_dATJWUxjKIcxQ,2026-04,40.7439156506328,-73.97381922970285,4,2026,True,East 34th Street,mid_block
n00174,OK,G5xzLLc8-W0MYiNmzOV-IQ,2026-04,40.74383572149968,-73.97362857324866,4,2026,True,East 34th Street,mid_block
n00175,OK,cDrKhT8HX8ZpqDZrfi9clw,2026-04,40.74437564423597,-73.97283868316109,4,2026,True,East 35th Street,mid_block
n00176,OK,iCMIs3Xr8D5B0zo0KNHGmg,2026-04,40.74449947482472,-73.97312610380538,4,2026,True,East 35th Street,mid_block
n00177,OK,CIqg5MLDMBO8arqpni1C2w,2026-04,40.74457386425447,-73.97330429542144,4,2026,True,East 35th Street,mid_block
n00178,OK,L15CyTMg1wDO0A-ZAu9exQ,2026-04,40.74466319048756,-73.97352024155742,4,2026,True,East 35th Street,mid_block
n00179,OK,GLCg1IGTFaM3l3oiQYDarw,2026-04,40.74475064762085,-73.97373152417025,4,2026,True,East 35th Street,mid_block
n00180,OK,3pveiKT3d0EEtdaOnEFyPQ,2026-04,40.74483704600441,-73.97393482517508,4,2026,True,East 35th Street,mid_block
n00181,OK,iDkq1YoJB6Y0o9xDQiTBuA,2026-04,40.744928235492,-73.97414691443734,4,2026,True,East 35th Street,mid_block
n00182,OK,yIZylFnN8QAgS-5lPggu-Q,2026-04,40.74501807401323,-73.9743558647293,4,2026,True,East 35th Street,mid_block
n00183,OK,Zj9aRWogaypQuG0wiWmSmA,2026-04,40.74510696057754,-73.9745666083562,4,2026,True,East 35th Street,mid_block
n00184,OK,F106toC2b2kwsUMtqssyWw,2026-04,40.74519557264246,-73.97477860724419,4,2026,True,East 35th Street,mid_block
n00185,OK,zZUKiH74uIYXwNz4PPSEDQ,2026-04,40.74528427647184,-73.97499284784591,4,2026,True,East 35th Street,mid_block
n00186,OK,BJwJvNaggHuYyxyAYadRlg,2026-04,40.74537063244775,-73.97520170754152,4,2026,True,East 35th Street,mid_block
n00187,OK,Q0Rs53OUSXKwYdW0cdzbMA,2026-04,40.7455351512485,-73.97559996621254,4,2026,True,East 35th Street,mid_block
n00188,OK,uLtLUviXUcpshqfe0L6YuQ,2026-04,40.74562371615701,-73.97581483364225,4,2026,True,East 35th Street,mid_block
n00189,OK,WB5dLuo30b5CCxXZIq_XDQ,2026-04,40.74571985985968,-73.97604431824895,4,2026,True,East 35th Street,mid_block
n00190,OK,-piZCTNJJPYO3XRrl4NcsA,2026-04,40.7457657917708,-73.97615381432473,4,2026,True,East 35th Street,mid_block
n00191,OK,qOVBPhHAueOV8uEdj9LJyQ,2026-04,40.74585763426488,-73.97636841210412,4,2026,True,East 35th Street,mid_block
n00192,OK,BYmhcxgXbR30CaG22hRL9g,2026-04,40.74594702607255,-73.97657637353488,4,2026,True,East 35th Street,mid_block
n00193,OK,9bTYqTOub_YrMD5CsMCIUA,2026-04,40.74603757165161,-73.97678343797024,4,2026,True,East 35th Street,mid_block
n00194,OK,10yKHxaXZaPolSPTCDlTxw,2026-04,40.74612899445155,-73.97699615183112,4,2026,True,East 35th Street,mid_block
n00195,OK,mUD035JR0rd6EdhawMjq4Q,2026-04,40.74621541309801,-73.97720070486247,4,2026,True,East 35th Street,mid_block
n00196,OK,ZBkMIntALvr7faUzc_eCBA,2026-04,40.74630996353875,-73.97742005434222,4,2026,True,East 35th Street,mid_block
n00197,OK,uzI9paD6B-nX3E789evjZA,2026-04,40.74648546912626,-73.97783947209088,4,2026,True,East 35th Street,mid_block
